id_partido,id_equipo
1468204,9829
1468221,9747
1468234,9847
1468244,9829
1709699,4087
1709703,9829
1709796,9831
1709971,9748
1709801,9747
1709809,8639
1709821,9748
1709839,4087
1709841,8592
1709852,8550
1709859,4087
1709864,9851
1709876,9829
1709886,9941
1709711,8592
1709712,8550
1709887,7794
1709889,9747
1709893,10249
1709894,9830
1709896,9837
1709899,8588
1709900,8689
1709901,8592
1709903,9829
1709904,9847
1709905,9851
1709907,7794
1709920,8689
1709924,9830
1709930,9747
1709965,9830
1709966,9941
1709972,9847
1709985,9830
1710002,8550
1710008,7819
1710018,9747
1710019,8639
1710023,9829
1710028,7819
1710040,8689
1710046,9831
1710056,9941
1710065,9831
1710066,9837
1710068,7819
1709732,8550
1709734,9830
1709742,10249
1709755,9941
1709761,9748
1709766,9853
1709775,9830
1989787,9941
1989884,9748
1989895,9853
1989900,7819
1989901,8639
1989906,9847
1989915,9851
1989920,6391
1989934,10249
1989948,8121
1989957,10242
1989788,8121
1989793,9847
1989971,9829
1989994,10249
1990000,8121
1990112,9830
1990116,9748
1990140,8121
1990141,9829
1990142,9827
1990010,8121
1990011,9827
1989800,8639
1990026,10249
1990027,7794
1990030,8121
1990035,8592
1990040,9829
1990043,8689
1990051,9853
1990057,7819
1990063,8689
1990074,8639
1990105,8689
1989809,9827
1989820,9748
1989827,10242
1989830,9827
1989839,6391
1989840,8639
1989845,9847
1989857,9853
1989858,8121
499320,8721
499322,9912
499404,8722
499409,9789
499414,9788
499416,9790
499418,10189
499428,8697
499440,8722
499443,8178
499445,10269
499459,9788
499463,9789
499332,9911
499498,8178
499501,8721
499519,8721
499547,9912
499549,9911
499552,8178
499561,8177
499571,9789
499336,8178
499339,8721
499343,8295
499590,8697
499593,9904
499596,9823
499598,10189
499601,9912
499602,8722
499607,9789
499611,9911
499353,9823
499357,8721
499362,9790
499363,9789
499370,8295
499373,9789
674260,8721
674350,10189
674351,9911
674358,10269
674360,8721
674366,8178
674367,8697
674382,8722
674393,9788
674409,9911
674429,9904
674435,8358
674274,9790
674459,9905
674462,8178
674490,8697
674496,8226
674516,8722
674518,9823
674523,9904
674550,8721
674560,9905
674581,9911
674315,9904
674317,9790
674319,8697
674330,8178
674332,8177
856955,9823
856985,8721
856988,8722
856990,8152
856997,9788
857002,9904
857017,9789
857019,9790
857027,8350
857060,9904
857101,8697
857139,9905
857212,9905
857216,9788
857219,9904
857238,8722
857256,9904
857263,10189
857304,8722
857308,8178
856892,9823
857354,9789
857357,9790
857366,8722
857367,8350
857371,8178
857372,10269
857392,10189
856910,8178
856911,9789
856914,8226
856915,9788
856919,9823
856922,10269
856933,9788
856942,8226
856946,8178
856947,9789
1029757,9789
1029762,8722
1029968,9789
1029971,9790
1029976,8165
1030023,8178
1030034,8165
1030041,8406
1030048,9823
1030058,10269
1030068,9789
1030095,8178
1030097,9823
1030109,10269
1030135,8165
1030138,8722
1030179,10189
1030187,8350
1030203,9904
1030225,8350
1030236,9789
1030240,9905
1030259,9790
1030270,9823
1030276,8721
1030279,8406
1030283,9789
1030294,8350
1030296,8226
1030298,8177
1030304,10189
1030314,8406
1030356,9904
1030359,8406
1029793,8697
1030399,8165
1029846,8722
1029864,9790
1029915,9790
1029940,9905
1029958,8721
1239548,9789
1239573,8226
1239574,9790
1239590,8165
1239596,8178
1239604,9788
1239611,9810
1239615,8721
1239622,10189
1239485,9823
1239487,8178
1239644,8226
1239649,9788
1239650,8357
1239652,9810
1239660,8226
1239671,8406
1239674,10189
1239678,8178
1239701,8721
1239707,8721
1239713,9904
1239714,8178
1239720,8357
1239724,8194
1239728,8406
1239494,9789
1239495,9823
1239500,8406
1239501,8357
1239737,9790
1239752,9904
1239761,8357
1239510,9790
1239480,9904
1239481,8358
1239522,10189
1239525,9904
1239529,8357
1239532,8721
1239536,9790
1478949,9776
1478950,8177
1479079,9905
1479095,8226
1479110,8178
1479112,8721
1479127,10189
1479130,8721
1479131,8226
1479136,9789
1479140,8358
1479143,9810
1479148,8721
1479151,8358
1479172,9790
1479173,9810
1479174,9789
1479177,8697
1479194,8178
1479195,8697
1479199,9810
1479203,9788
1479207,8165
1479210,9790
1479219,8177
1479221,9788
1479245,8721
1479252,8406
1479015,9776
1479016,8177
1479276,9823
1479289,8165
1479293,9810
1479298,8721
1479302,8406
1479053,10189
1479056,10269
1479064,8697
1479065,8226
1732669,9788
1732670,8226
1732675,8460
1732800,9904
1732822,9788
1732828,8460
1732863,8722
1732871,8697
1732874,10189
1732875,8178
1732883,9823
1732886,8226
1732893,8721
1732916,9790
1732922,9788
1732940,9788
1732947,10189
1732951,10269
1732955,9789
1732974,8178
1732976,8406
1732978,8177
1732730,9789
1732732,9788
1732989,8722
1732993,8721
1733002,9788
1733009,10189
1733010,8178
1732745,9790
1732765,10269
1732767,8722
1732780,9905
1732783,10269
1732788,8178
2002179,9905
2002193,8178
2002205,10269
2002209,8234
2002219,10189
2002221,8721
2002233,8697
2002243,9904
2002252,8177
2002261,8697
2002098,9790
2002301,10189
2002315,9810
2002321,9788
2002324,8226
2002332,8697
2002337,9789
2002106,9789
2002112,9905
2002434,9789
2002435,8178
2002443,9788
2002444,9790
2002450,8234
2002117,8178
2002120,9904
2002136,9823
2002140,9904
2002152,9810
2002157,8178
2002159,9904
2002161,8226
2002166,9790
537635,8533
539654,8524
539659,8543
539682,8690
539701,9804
539704,8564
539712,8600
539722,8529
539724,8533
539746,8524
539564,8551
539566,8540
539567,9875
539751,8543
539757,9888
539759,8686
539774,8543
539778,8533
539782,8529
539798,8529
539801,9804
539807,8564
539819,9857
539824,9875
539859,8543
539873,8540
539881,9857
539893,8636
539905,8524
539906,8529
539927,9804
539932,8540
539586,8543
539594,9804
539596,8686
539598,8564
539609,8636
539618,10233
539641,8535
704353,9857
704355,10233
704361,8537
704366,8551
704531,9857
704533,10233
704541,8529
704553,9857
704562,8535
704574,8529
704585,10167
704604,8540
704606,8686
704628,9857
704642,8537
704660,8533
704671,10167
704675,8551
704702,8686
704387,10167
704717,8686
704732,8524
704753,8551
704805,8530
704825,8524
704981,9882
705064,8533
705265,10167
705278,8636
705280,8535
705290,8686
705302,8551
